date,service,region,team,env,cost_usd,account_id
2025-05-19,Amazon DynamoDB,us-east-1,Backend,prod,24.04,847291038472
2025-05-20,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,48.68,847291038472
2025-05-20,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,14.78,847291038472
2025-05-20,Amazon Relational Database Service,us-east-1,Database,prod,35.6,847291038472
2025-05-20,Amazon Relational Database Service,us-east-1,Database,dev,6.81,847291038472
2025-05-20,Amazon Simple Storage Service,us-west-2,Data,prod,11.07,847291038472
2025-05-20,Amazon CloudFront,global,Frontend,prod,20.96,847291038472
2025-05-20,Amazon CloudFront,global,Frontend,staging,5.6,847291038472
2025-05-20,Amazon DynamoDB,us-east-1,Backend,prod,26.28,847291038472
2025-05-21,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,41.94,847291038472
2025-05-21,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,15.51,847291038472
2025-05-21,Amazon Relational Database Service,us-east-1,Database,prod,34.74,847291038472
2025-05-21,Amazon Relational Database Service,us-east-1,Database,dev,6.77,847291038472
2025-05-21,Amazon Simple Storage Service,us-west-2,Data,prod,11.89,847291038472
2025-05-21,Amazon CloudFront,global,Frontend,prod,18.9,847291038472
2025-05-21,Amazon CloudFront,global,Frontend,staging,4.64,847291038472
2025-05-21,Amazon DynamoDB,us-east-1,Backend,prod,24.0,847291038472
2025-05-22,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,50.42,847291038472
2025-05-22,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,15.04,847291038472
2025-05-22,Amazon Relational Database Service,us-east-1,Database,prod,35.29,847291038472
2025-05-22,Amazon Relational Database Service,us-east-1,Database,dev,8.07,847291038472
2025-05-22,Amazon Simple Storage Service,us-west-2,Data,prod,10.05,847291038472
2025-05-22,Amazon CloudFront,global,Frontend,prod,18.73,847291038472
2025-05-22,Amazon CloudFront,global,Frontend,staging,5.86,847291038472
2025-05-22,Amazon DynamoDB,us-east-1,Backend,prod,20.57,847291038472
2025-05-23,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,54.4,847291038472
2025-05-23,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,16.26,847291038472
2025-05-23,Amazon Relational Database Service,us-east-1,Database,prod,35.02,847291038472
2025-05-23,Amazon Relational Database Service,us-east-1,Database,dev,6.0,847291038472
2025-05-23,Amazon Simple Storage Service,us-west-2,Data,prod,11.23,847291038472
2025-05-23,Amazon CloudFront,global,Frontend,prod,18.96,847291038472
2025-05-23,Amazon CloudFront,global,Frontend,staging,5.96,847291038472
2025-05-23,Amazon DynamoDB,us-east-1,Backend,prod,23.27,847291038472
2025-05-24,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,55.57,847291038472
2025-05-24,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,13.39,847291038472
2025-05-24,Amazon Relational Database Service,us-east-1,Database,prod,33.73,847291038472
2025-05-24,Amazon Relational Database Service,us-east-1,Database,dev,8.18,847291038472
2025-05-24,Amazon Simple Storage Service,us-west-2,Data,prod,14.33,847291038472
2025-05-24,Amazon CloudFront,global,Frontend,prod,24.23,847291038472
2025-05-24,Amazon CloudFront,global,Frontend,staging,3.87,847291038472
2025-05-24,Amazon DynamoDB,us-east-1,Backend,prod,21.47,847291038472
2025-05-25,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,43.46,847291038472
2025-05-25,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,15.58,847291038472
2025-05-25,Amazon Relational Database Service,us-east-1,Database,prod,34.74,847291038472
2025-05-25,Amazon Relational Database Service,us-east-1,Database,dev,7.69,847291038472
2025-05-25,Amazon Simple Storage Service,us-west-2,Data,prod,11.09,847291038472
2025-05-25,Amazon CloudFront,global,Frontend,prod,21.34,847291038472
2025-05-25,Amazon CloudFront,global,Frontend,staging,5.34,847291038472
2025-05-25,Amazon DynamoDB,us-east-1,Backend,prod,26.64,847291038472
2025-05-26,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,42.38,847291038472
2025-05-26,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,15.35,847291038472
2025-05-26,Amazon Relational Database Service,us-east-1,Database,prod,37.04,847291038472
2025-05-26,Amazon Relational Database Service,us-east-1,Database,dev,6.78,847291038472
2025-05-26,Amazon Simple Storage Service,us-west-2,Data,prod,10.86,847291038472
2025-05-26,Amazon CloudFront,global,Frontend,prod,23.19,847291038472
2025-05-26,Amazon CloudFront,global,Frontend,staging,6.38,847291038472
2025-05-26,Amazon DynamoDB,us-east-1,Backend,prod,25.63,847291038472
2025-05-27,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,42.89,847291038472
2025-05-27,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,17.13,847291038472
2025-05-27,Amazon Relational Database Service,us-east-1,Database,prod,34.51,847291038472
2025-05-27,Amazon Relational Database Service,us-east-1,Database,dev,9.73,847291038472
2025-05-27,Amazon Simple Storage Service,us-west-2,Data,prod,12.78,847291038472
2025-05-27,Amazon CloudFront,global,Frontend,prod,19.12,847291038472
2025-05-27,Amazon CloudFront,global,Frontend,staging,3.77,847291038472
2025-05-27,Amazon DynamoDB,us-east-1,Backend,prod,21.72,847291038472
2025-05-28,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,43.58,847291038472
2025-05-28,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,15.96,847291038472
2025-05-28,Amazon Relational Database Service,us-east-1,Database,prod,31.77,847291038472
2025-05-28,Amazon Relational Database Service,us-east-1,Database,dev,9.02,847291038472
2025-05-28,Amazon Simple Storage Service,us-west-2,Data,prod,13.78,847291038472
2025-05-28,Amazon CloudFront,global,Frontend,prod,16.14,847291038472
2025-05-28,Amazon CloudFront,global,Frontend,staging,4.97,847291038472
2025-05-28,Amazon DynamoDB,us-east-1,Backend,prod,25.58,847291038472
2025-05-29,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,48.42,847291038472
2025-05-29,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,15.6,847291038472
2025-05-29,Amazon Relational Database Service,us-east-1,Database,prod,39.05,847291038472
2025-05-29,Amazon Relational Database Service,us-east-1,Database,dev,8.21,847291038472
2025-05-29,Amazon Simple Storage Service,us-west-2,Data,prod,10.25,847291038472
2025-05-29,Amazon CloudFront,global,Frontend,prod,15.93,847291038472
2025-05-29,Amazon CloudFront,global,Frontend,staging,5.29,847291038472
2025-05-29,Amazon DynamoDB,us-east-1,Backend,prod,23.73,847291038472
2025-05-30,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,43.06,847291038472
2025-05-30,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,13.28,847291038472
2025-05-30,Amazon Relational Database Service,us-east-1,Database,prod,31.4,847291038472
2025-05-30,Amazon Relational Database Service,us-east-1,Database,dev,8.24,847291038472
2025-05-30,Amazon Simple Storage Service,us-west-2,Data,prod,10.32,847291038472
2025-05-30,Amazon CloudFront,global,Frontend,prod,17.97,847291038472
2025-05-30,Amazon CloudFront,global,Frontend,staging,4.35,847291038472
2025-05-30,Amazon DynamoDB,us-east-1,Backend,prod,22.3,847291038472
2025-05-31,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,40.47,847291038472
2025-05-31,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,13.68,847291038472
2025-05-31,Amazon Relational Database Service,us-east-1,Database,prod,35.22,847291038472
2025-05-31,Amazon Relational Database Service,us-east-1,Database,dev,6.86,847291038472
2025-05-31,Amazon Simple Storage Service,us-west-2,Data,prod,10.25,847291038472
2025-05-31,Amazon CloudFront,global,Frontend,prod,18.88,847291038472
2025-05-31,Amazon CloudFront,global,Frontend,staging,4.57,847291038472
2025-05-31,Amazon DynamoDB,us-east-1,Backend,prod,24.61,847291038472
2025-06-01,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,34.95,847291038472
2025-06-01,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,14.24,847291038472
2025-06-01,Amazon Relational Database Service,us-east-1,Database,prod,37.53,847291038472
2025-06-01,Amazon Relational Database Service,us-east-1,Database,dev,7.87,847291038472
2025-06-01,Amazon Simple Storage Service,us-west-2,Data,prod,12.7,847291038472
2025-06-01,Amazon CloudFront,global,Frontend,prod,18.35,847291038472
2025-06-01,Amazon CloudFront,global,Frontend,staging,5.29,847291038472
2025-06-01,Amazon DynamoDB,us-east-1,Backend,prod,23.84,847291038472
2025-06-02,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,43.23,847291038472
2025-06-02,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,13.23,847291038472
2025-06-02,Amazon Relational Database Service,us-east-1,Database,prod,37.39,847291038472
2025-06-02,Amazon Relational Database Service,us-east-1,Database,dev,9.88,847291038472
2025-06-02,Amazon Simple Storage Service,us-west-2,Data,prod,14.43,847291038472
2025-06-02,Amazon CloudFront,global,Frontend,prod,20.93,847291038472
2025-06-02,Amazon CloudFront,global,Frontend,staging,4.66,847291038472
2025-06-02,Amazon DynamoDB,us-east-1,Backend,prod,18.91,847291038472
2025-06-03,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,40.04,847291038472
2025-06-03,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,18.89,847291038472
2025-06-03,Amazon Relational Database Service,us-east-1,Database,prod,33.32,847291038472
2025-06-03,Amazon Relational Database Service,us-east-1,Database,dev,7.97,847291038472
2025-06-03,Amazon Simple Storage Service,us-west-2,Data,prod,13.19,847291038472
2025-06-03,Amazon CloudFront,global,Frontend,prod,21.83,847291038472
2025-06-03,Amazon CloudFront,global,Frontend,staging,4.39,847291038472
2025-06-03,Amazon DynamoDB,us-east-1,Backend,prod,21.98,847291038472
2025-06-04,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,47.08,847291038472
2025-06-04,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,14.63,847291038472
2025-06-04,Amazon Relational Database Service,us-east-1,Database,prod,33.71,847291038472
2025-06-04,Amazon Relational Database Service,us-east-1,Database,dev,9.21,847291038472
2025-06-04,Amazon Simple Storage Service,us-west-2,Data,prod,12.23,847291038472
2025-06-04,Amazon CloudFront,global,Frontend,prod,25.73,847291038472
2025-06-04,Amazon CloudFront,global,Frontend,staging,5.47,847291038472
2025-06-04,Amazon DynamoDB,us-east-1,Backend,prod,22.19,847291038472
2025-06-05,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,45.76,847291038472
2025-06-05,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,17.64,847291038472
2025-06-05,Amazon Relational Database Service,us-east-1,Database,prod,34.83,847291038472
2025-06-05,Amazon Relational Database Service,us-east-1,Database,dev,6.84,847291038472
2025-06-05,Amazon Simple Storage Service,us-west-2,Data,prod,11.41,847291038472
2025-06-05,Amazon CloudFront,global,Frontend,prod,20.4,847291038472
2025-06-05,Amazon CloudFront,global,Frontend,staging,4.81,847291038472
2025-06-05,Amazon DynamoDB,us-east-1,Backend,prod,21.07,847291038472
2025-06-06,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,42.63,847291038472
2025-06-06,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,13.07,847291038472
2025-06-06,Amazon Relational Database Service,us-east-1,Database,prod,36.02,847291038472
2025-06-06,Amazon Relational Database Service,us-east-1,Database,dev,10.21,847291038472
2025-06-06,Amazon Simple Storage Service,us-west-2,Data,prod,16.59,847291038472
2025-06-06,Amazon CloudFront,global,Frontend,prod,18.37,847291038472
2025-06-06,Amazon CloudFront,global,Frontend,staging,5.46,847291038472
2025-06-06,Amazon DynamoDB,us-east-1,Backend,prod,22.2,847291038472
2025-06-07,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,43.48,847291038472
2025-06-07,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,14.69,847291038472
2025-06-07,Amazon Relational Database Service,us-east-1,Database,prod,35.86,847291038472
2025-06-07,Amazon Relational Database Service,us-east-1,Database,dev,9.99,847291038472
2025-06-07,Amazon Simple Storage Service,us-west-2,Data,prod,12.37,847291038472
2025-06-07,Amazon CloudFront,global,Frontend,prod,16.28,847291038472
2025-06-07,Amazon CloudFront,global,Frontend,staging,5.05,847291038472
2025-06-07,Amazon DynamoDB,us-east-1,Backend,prod,20.78,847291038472
2025-06-08,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,38.29,847291038472
2025-06-08,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,9.77,847291038472
2025-06-08,Amazon Relational Database Service,us-east-1,Database,prod,39.61,847291038472
2025-06-08,Amazon Relational Database Service,us-east-1,Database,dev,9.62,847291038472
2025-06-08,Amazon Simple Storage Service,us-west-2,Data,prod,11.38,847291038472
2025-06-08,Amazon CloudFront,global,Frontend,prod,23.5,847291038472
2025-06-08,Amazon CloudFront,global,Frontend,staging,4.75,847291038472
2025-06-08,Amazon DynamoDB,us-east-1,Backend,prod,20.23,847291038472
2025-06-09,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,54.22,847291038472
2025-06-09,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,14.73,847291038472
2025-06-09,Amazon Relational Database Service,us-east-1,Database,prod,33.91,847291038472
2025-06-09,Amazon Relational Database Service,us-east-1,Database,dev,6.71,847291038472
2025-06-09,Amazon Simple Storage Service,us-west-2,Data,prod,12.65,847291038472
2025-06-09,Amazon CloudFront,global,Frontend,prod,16.01,847291038472
2025-06-09,Amazon CloudFront,global,Frontend,staging,4.91,847291038472
2025-06-09,Amazon DynamoDB,us-east-1,Backend,prod,22.73,847291038472
2025-06-10,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,50.57,847291038472
2025-06-10,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,10.78,847291038472
2025-06-10,Amazon Relational Database Service,us-east-1,Database,prod,34.56,847291038472
2025-06-10,Amazon Relational Database Service,us-east-1,Database,dev,7.93,847291038472
2025-06-10,Amazon Simple Storage Service,us-west-2,Data,prod,14.4,847291038472
2025-06-10,Amazon CloudFront,global,Frontend,prod,21.57,847291038472
2025-06-10,Amazon CloudFront,global,Frontend,staging,5.15,847291038472
2025-06-10,Amazon DynamoDB,us-east-1,Backend,prod,25.51,847291038472
2025-06-11,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,47.42,847291038472
2025-06-11,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,14.41,847291038472
2025-06-11,Amazon Relational Database Service,us-east-1,Database,prod,38.1,847291038472
2025-06-11,Amazon Relational Database Service,us-east-1,Database,dev,7.99,847291038472
2025-06-11,Amazon Simple Storage Service,us-west-2,Data,prod,13.61,847291038472
2025-06-11,Amazon CloudFront,global,Frontend,prod,18.46,847291038472
2025-06-11,Amazon CloudFront,global,Frontend,staging,5.81,847291038472
2025-06-11,Amazon DynamoDB,us-east-1,Backend,prod,21.55,847291038472
2025-06-12,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,57.87,847291038472
2025-06-12,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,13.62,847291038472
2025-06-12,Amazon Relational Database Service,us-east-1,Database,prod,39.11,847291038472
2025-06-12,Amazon Relational Database Service,us-east-1,Database,dev,9.04,847291038472
2025-06-12,Amazon Simple Storage Service,us-west-2,Data,prod,14.39,847291038472
2025-06-12,Amazon CloudFront,global,Frontend,prod,16.87,847291038472
2025-06-12,Amazon CloudFront,global,Frontend,staging,4.35,847291038472
2025-06-12,Amazon DynamoDB,us-east-1,Backend,prod,24.24,847291038472
2025-06-13,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,52.07,847291038472
2025-06-13,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,13.95,847291038472
2025-06-13,Amazon Relational Database Service,us-east-1,Database,prod,38.24,847291038472
2025-06-13,Amazon Relational Database Service,us-east-1,Database,dev,9.41,847291038472
2025-06-13,Amazon Simple Storage Service,us-west-2,Data,prod,13.64,847291038472
2025-06-13,Amazon CloudFront,global,Frontend,prod,16.05,847291038472
2025-06-13,Amazon CloudFront,global,Frontend,staging,5.72,847291038472
2025-06-13,Amazon DynamoDB,us-east-1,Backend,prod,21.43,847291038472
2025-06-14,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,51.22,847291038472
2025-06-14,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,16.52,847291038472
2025-06-14,Amazon Relational Database Service,us-east-1,Database,prod,40.67,847291038472
2025-06-14,Amazon Relational Database Service,us-east-1,Database,dev,7.17,847291038472
2025-06-14,Amazon Simple Storage Service,us-west-2,Data,prod,13.06,847291038472
2025-06-14,Amazon CloudFront,global,Frontend,prod,21.08,847291038472
2025-06-14,Amazon CloudFront,global,Frontend,staging,4.0,847291038472
2025-06-14,Amazon DynamoDB,us-east-1,Backend,prod,22.48,847291038472
2025-06-15,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,42.2,847291038472
2025-06-15,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,15.67,847291038472
2025-06-15,Amazon Relational Database Service,us-east-1,Database,prod,32.57,847291038472
2025-06-15,Amazon Relational Database Service,us-east-1,Database,dev,6.07,847291038472
2025-06-15,Amazon Simple Storage Service,us-west-2,Data,prod,11.81,847291038472
2025-06-15,Amazon CloudFront,global,Frontend,prod,22.04,847291038472
2025-06-15,Amazon CloudFront,global,Frontend,staging,5.63,847291038472
2025-06-15,Amazon DynamoDB,us-east-1,Backend,prod,27.23,847291038472
2025-06-16,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,53.18,847291038472
2025-06-16,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,14.7,847291038472
2025-06-16,Amazon Relational Database Service,us-east-1,Database,prod,36.8,847291038472
2025-06-16,Amazon Relational Database Service,us-east-1,Database,dev,8.36,847291038472
2025-06-16,Amazon Simple Storage Service,us-west-2,Data,prod,13.78,847291038472
2025-06-16,Amazon CloudFront,global,Frontend,prod,17.92,847291038472
2025-06-16,Amazon CloudFront,global,Frontend,staging,7.1,847291038472
2025-06-16,Amazon DynamoDB,us-east-1,Backend,prod,21.34,847291038472
2025-06-17,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,41.77,847291038472
2025-06-17,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,18.67,847291038472
2025-06-17,Amazon Relational Database Service,us-east-1,Database,prod,36.02,847291038472
2025-06-17,Amazon Relational Database Service,us-east-1,Database,dev,7.85,847291038472
2025-06-17,Amazon Simple Storage Service,us-west-2,Data,prod,13.11,847291038472
2025-06-17,Amazon CloudFront,global,Frontend,prod,23.28,847291038472
2025-06-17,Amazon CloudFront,global,Frontend,staging,6.52,847291038472
2025-06-17,Amazon DynamoDB,us-east-1,Backend,prod,19.95,847291038472
2025-06-18,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,40.18,847291038472
2025-06-18,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,14.28,847291038472
2025-06-18,Amazon Relational Database Service,us-east-1,Database,prod,36.2,847291038472
2025-06-18,Amazon Relational Database Service,us-east-1,Database,dev,8.38,847291038472
2025-06-18,Amazon Simple Storage Service,us-west-2,Data,prod,14.34,847291038472
2025-06-18,Amazon CloudFront,global,Frontend,prod,18.07,847291038472
2025-06-18,Amazon CloudFront,global,Frontend,staging,4.13,847291038472
2025-06-18,Amazon DynamoDB,us-east-1,Backend,prod,24.61,847291038472
2025-06-19,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,45.64,847291038472
